detection_time,detection_cycle,grid_x,grid_y,grid_z,temperature_grain,temperature_inside,temperature_outside,humidity_warehouse,humidity_outside,grain_type
2025-05-15 12:00:00,1,0,0,0,19.98,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,2,0,0,1,21.53,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,3,0,0,2,23.33,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,4,0,1,0,19.68,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,5,0,1,1,21.43,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,6,0,1,2,22.73,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,7,0,2,0,19.86,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,8,0,2,1,21.55,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,9,0,2,2,22.92,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,10,0,3,0,19.97,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,11,0,3,1,21.48,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,12,0,3,2,22.54,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,13,0,4,0,19.31,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,14,0,4,1,21.11,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,15,0,4,2,22.99,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,16,1,0,0,20.1,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,17,1,0,1,21.87,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,18,1,0,2,23.03,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,19,1,1,0,18.44,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,20,1,1,1,20.31,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,21,1,1,2,22.01,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,22,1,2,0,18.88,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,23,1,2,1,20.06,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,24,1,2,2,21.27,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,25,1,3,0,18.56,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,26,1,3,1,20.12,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,27,1,3,2,21.25,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,28,1,4,0,20.61,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,29,1,4,1,21.0,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,30,1,4,2,22.92,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,31,2,0,0,20.06,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,32,2,0,1,21.62,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,33,2,0,2,22.76,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,34,2,1,0,18.62,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,35,2,1,1,19.98,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,36,2,1,2,21.37,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,37,2,2,0,18.67,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,38,2,2,1,20.4,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,39,2,2,2,21.22,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,40,2,3,0,18.63,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,41,2,3,1,19.87,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,42,2,3,2,21.17,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,43,2,4,0,19.81,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,44,2,4,1,21.48,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,45,2,4,2,22.86,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,46,3,0,0,20.1,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,47,3,0,1,21.2,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,48,3,0,2,23.07,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,49,3,1,0,20.88,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,50,3,1,1,21.02,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,51,3,1,2,22.87,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,52,3,2,0,20.18,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,53,3,2,1,21.67,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,54,3,2,2,23.37,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,55,3,3,0,20.04,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,56,3,3,1,21.01,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,57,3,3,2,22.95,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,58,3,4,0,19.92,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,59,3,4,1,21.46,24.45,23.95,75.2,85.5,Japonica rice
2025-05-15 12:00:00,60,3,4,2,23.39,24.45,23.95,75.2,85.5,Japonica rice
