granary_id,heap_id,grid_x,grid_y,grid_z,detection_time,forecast_day,predicted_temp
中正粮食储备库,101,2,1,2,2025-06-27 01:00:05,1,23.270300373829752
中正粮食储备库,101,2,1,3,2025-06-27 01:00:05,1,23.029169898856622
中正粮食储备库,101,3,1,4,2025-06-27 01:00:05,1,23.396366862257338
中正粮食储备库,101,1,1,1,2025-06-27 01:00:05,1,23.646454313156315
中正粮食储备库,101,1,1,2,2025-06-27 01:00:05,1,24.09490004420198
中正粮食储备库,101,1,1,4,2025-06-27 01:00:05,1,23.436631116098305
中正粮食储备库,101,1,1,5,2025-06-27 01:00:05,1,23.436631116098305
中正粮食储备库,101,1,1,3,2025-06-27 01:00:05,1,23.382124312637025
中正粮食储备库,101,2,1,5,2025-06-27 01:00:05,1,23.612153048946734
中正粮食储备库,101,2,1,1,2025-06-27 01:00:05,1,23.646454313156315
中正粮食储备库,101,2,1,4,2025-06-27 01:00:05,1,23.04950153399998
中正粮食储备库,101,2,1,6,2025-06-27 01:00:05,1,23.04950153399998
中正粮食储备库,101,3,1,1,2025-06-27 01:00:05,1,23.561992353453157
中正粮食储备库,101,3,1,2,2025-06-27 01:00:05,1,23.39808975013075
中正粮食储备库,101,3,1,3,2025-06-27 01:00:05,1,23.04962531804447
中正粮食储备库,101,1,1,6,2025-06-27 01:00:05,1,23.436631116098305
中正粮食储备库,101,3,1,5,2025-06-27 01:00:05,1,23.39808975013075
中正粮食储备库,101,3,1,6,2025-06-27 01:00:05,1,23.029169898856622
中正粮食储备库,101,2,1,2,2025-06-28 01:00:05,2,23.299319162789807
中正粮食储备库,101,2,1,3,2025-06-28 01:00:05,2,23.049245998183245
中正粮食储备库,101,3,1,4,2025-06-28 01:00:05,2,23.341085976472385
中正粮食储备库,101,1,1,1,2025-06-28 01:00:05,2,23.510214828084532
中正粮食储备库,101,1,1,2,2025-06-28 01:00:05,2,23.924946657157058
中正粮食储备库,101,1,1,4,2025-06-28 01:00:05,2,23.441628952336824
中正粮食储备库,101,1,1,5,2025-06-28 01:00:05,2,23.441628952336824
中正粮食储备库,101,1,1,3,2025-06-28 01:00:05,2,23.35924454474236
中正粮食储备库,101,2,1,5,2025-06-28 01:00:05,2,23.554556581790017
中正粮食储备库,101,2,1,1,2025-06-28 01:00:05,2,23.510214828084532
中正粮食储备库,101,2,1,4,2025-06-28 01:00:05,2,23.080648118667813
中正粮食储备库,101,2,1,6,2025-06-28 01:00:05,2,23.080648118667813
中正粮食储备库,101,3,1,1,2025-06-28 01:00:05,2,23.44733156653082
中正粮食储备库,101,3,1,2,2025-06-28 01:00:05,2,23.33268642210096
中正粮食储备库,101,3,1,3,2025-06-28 01:00:05,2,23.11117700455132
中正粮食储备库,101,1,1,6,2025-06-28 01:00:05,2,23.441628952336824
中正粮食储备库,101,3,1,5,2025-06-28 01:00:05,2,23.342834476774314
中正粮食储备库,101,3,1,6,2025-06-28 01:00:05,2,23.045420804243637
中正粮食储备库,101,2,1,2,2025-06-29 01:00:05,3,23.406299190994968
中正粮食储备库,101,2,1,3,2025-06-29 01:00:05,3,23.134066418898623
中正粮食储备库,101,3,1,4,2025-06-29 01:00:05,3,23.40907374501331
中正粮食储备库,101,1,1,1,2025-06-29 01:00:05,3,23.62307303796761
中正粮食储备库,101,1,1,2,2025-06-29 01:00:05,3,23.859892857843185
中正粮食储备库,101,1,1,4,2025-06-29 01:00:05,3,23.46124576443867
中正粮食储备库,101,1,1,5,2025-06-29 01:00:05,3,23.46124576443867
中正粮食储备库,101,1,1,3,2025-06-29 01:00:05,3,23.512772980188085
中正粮食储备库,101,2,1,5,2025-06-29 01:00:05,3,23.677708897261482
中正粮食储备库,101,2,1,1,2025-06-29 01:00:05,3,23.62307303796761
中正粮食储备库,101,2,1,4,2025-06-29 01:00:05,3,23.165899492616067
中正粮食储备库,101,2,1,6,2025-06-29 01:00:05,3,23.165899492616067
中正粮食储备库,101,3,1,1,2025-06-29 01:00:05,3,23.562988897796995
中正粮食储备库,101,3,1,2,2025-06-29 01:00:05,3,23.370607786415945
中正粮食储备库,101,3,1,3,2025-06-29 01:00:05,3,23.200553188363706
中正粮食储备库,101,1,1,6,2025-06-29 01:00:05,3,23.46124576443867
中正粮食储备库,101,3,1,5,2025-06-29 01:00:05,3,23.370607786415945
中正粮食储备库,101,3,1,6,2025-06-29 01:00:05,3,23.124749742613847
中正粮食储备库,101,2,1,2,2025-06-30 01:00:05,4,23.425513990207655
中正粮食储备库,101,2,1,3,2025-06-30 01:00:05,4,23.174966226183084
中正粮食储备库,101,3,1,4,2025-06-30 01:00:05,4,23.442944110800525
中正粮食储备库,101,1,1,1,2025-06-30 01:00:05,4,23.666249457626993
中正粮食储备库,101,1,1,2,2025-06-30 01:00:05,4,24.060272153766583
中正粮食储备库,101,1,1,4,2025-06-30 01:00:05,4,23.46051460938176
中正粮食储备库,101,1,1,5,2025-06-30 01:00:05,4,23.46051460938176
中正粮食储备库,101,1,1,3,2025-06-30 01:00:05,4,23.556221772555446
中正粮食储备库,101,2,1,5,2025-06-30 01:00:05,4,23.713342345774443
中正粮食储备库,101,2,1,1,2025-06-30 01:00:05,4,23.666249457626993
中正粮食储备库,101,2,1,4,2025-06-30 01:00:05,4,23.199461323383577
中正粮食储备库,101,2,1,6,2025-06-30 01:00:05,4,23.199461323383577
中正粮食储备库,101,3,1,1,2025-06-30 01:00:05,4,23.65403276749164
中正粮食储备库,101,3,1,2,2025-06-30 01:00:05,4,23.41420943937535
中正粮食储备库,101,3,1,3,2025-06-30 01:00:05,4,23.36780448929151
中正粮食储备库,101,1,1,6,2025-06-30 01:00:05,4,23.46051460938176
中正粮食储备库,101,3,1,5,2025-06-30 01:00:05,4,23.42259604562362
中正粮食储备库,101,3,1,6,2025-06-30 01:00:05,4,23.185039072385745
中正粮食储备库,101,2,1,2,2025-07-01 01:00:05,5,23.443382601248544
中正粮食储备库,101,2,1,3,2025-07-01 01:00:05,5,23.336996934251143
中正粮食储备库,101,3,1,4,2025-07-01 01:00:05,5,23.4383678913507
中正粮食储备库,101,1,1,1,2025-07-01 01:00:05,5,23.397514142757952
中正粮食储备库,101,1,1,2,2025-07-01 01:00:05,5,23.780498809071265
中正粮食储备库,101,1,1,4,2025-07-01 01:00:05,5,23.436433401035703
中正粮食储备库,101,1,1,5,2025-07-01 01:00:05,5,23.436433401035703
中正粮食储备库,101,1,1,3,2025-07-01 01:00:05,5,23.5305390840219
中正粮食储备库,101,2,1,5,2025-07-01 01:00:05,5,23.637448515257102
中正粮食储备库,101,2,1,1,2025-07-01 01:00:05,5,23.41781513206529
中正粮食储备库,101,2,1,4,2025-07-01 01:00:05,5,23.267808766640766
中正粮食储备库,101,2,1,6,2025-07-01 01:00:05,5,23.267808766640766
中正粮食储备库,101,3,1,1,2025-07-01 01:00:05,5,23.55611622501556
中正粮食储备库,101,3,1,2,2025-07-01 01:00:05,5,23.368890734403035
中正粮食储备库,101,3,1,3,2025-07-01 01:00:05,5,23.402523219006746
中正粮食储备库,101,1,1,6,2025-07-01 01:00:05,5,23.436433401035703
中正粮食储备库,101,3,1,5,2025-07-01 01:00:05,5,23.378541440353246
中正粮食储备库,101,3,1,6,2025-07-01 01:00:05,5,23.334041317255227
中正粮食储备库,101,2,1,2,2025-07-02 01:00:05,6,23.574398708222883
