granary_id,heap_id,grid_x,grid_y,grid_z,detection_time,forecast_day,predicted_temp
蚬冈库,P1-1-01堆位,4,2,4,2025-06-27 02:01:14,1,16.314490284034818
蚬冈库,P1-1-01堆位,4,2,1,2025-06-27 02:01:14,1,23.30606922127266
蚬冈库,P1-1-01堆位,4,2,2,2025-06-27 02:01:14,1,16.55480807885099
蚬冈库,P1-1-01堆位,4,2,3,2025-06-27 02:01:14,1,16.313262962972296
蚬冈库,P1-1-01堆位,4,2,5,2025-06-27 02:01:14,1,16.446324588314265
蚬冈库,P2-1-01堆位,2,4,2,2025-06-27 02:01:14,1,16.80485908009512
蚬冈库,P1-1-01堆位,4,3,1,2025-06-27 02:01:14,1,22.857164261010904
蚬冈库,P1-1-01堆位,4,3,2,2025-06-27 02:01:14,1,16.064634339176784
蚬冈库,P2-1-01堆位,5,4,4,2025-06-27 02:01:14,1,19.54989470701529
蚬冈库,P1-1-01堆位,5,4,6,2025-06-27 02:01:14,1,19.839091594371425
蚬冈库,P1-1-01堆位,4,1,6,2025-06-27 02:01:14,1,27.04699987583068
蚬冈库,P1-1-01堆位,4,2,6,2025-06-27 02:01:14,1,19.015691650895597
蚬冈库,P1-1-01堆位,3,3,2,2025-06-27 02:01:14,1,16.301483911217424
蚬冈库,P1-1-01堆位,3,4,4,2025-06-27 02:01:14,1,19.30147426160621
蚬冈库,P1-1-01堆位,4,1,3,2025-06-27 02:01:14,1,27.188109102732064
蚬冈库,P1-1-01堆位,4,3,3,2025-06-27 02:01:14,1,16.064703788176256
蚬冈库,P1-1-01堆位,4,1,2,2025-06-27 02:01:14,1,24.61948010127659
蚬冈库,P1-1-01堆位,3,4,6,2025-06-27 02:01:14,1,19.81162376940204
蚬冈库,P1-1-01堆位,3,4,5,2025-06-27 02:01:14,1,19.743591884250314
蚬冈库,P1-1-01堆位,3,4,3,2025-06-27 02:01:14,1,19.80248154449144
蚬冈库,P1-1-01堆位,3,4,2,2025-06-27 02:01:14,1,20.153969426296015
蚬冈库,P1-1-01堆位,3,4,1,2025-06-27 02:01:14,1,18.512787871589012
蚬冈库,P1-1-01堆位,3,3,6,2025-06-27 02:01:14,1,17.05689151865979
蚬冈库,P1-1-01堆位,3,3,5,2025-06-27 02:01:14,1,15.550152698720579
蚬冈库,P1-1-01堆位,3,3,4,2025-06-27 02:01:14,1,15.26670434824906
蚬冈库,P1-1-01堆位,4,1,4,2025-06-27 02:01:14,1,27.134483786732947
蚬冈库,P1-1-01堆位,4,1,5,2025-06-27 02:01:14,1,26.537210877548283
蚬冈库,P1-1-01堆位,3,3,3,2025-06-27 02:01:14,1,15.763245138563184
蚬冈库,P1-1-01堆位,3,2,6,2025-06-27 02:01:14,1,17.02221552890188
蚬冈库,P1-1-01堆位,4,4,3,2025-06-27 02:01:14,1,20.065588142446657
蚬冈库,P1-1-01堆位,4,3,4,2025-06-27 02:01:14,1,15.650342963850905
蚬冈库,P1-1-01堆位,4,3,6,2025-06-27 02:01:14,1,18.98226760911692
蚬冈库,P1-1-01堆位,5,4,2,2025-06-27 02:01:14,1,20.338519925644682
蚬冈库,P1-1-01堆位,5,4,1,2025-06-27 02:01:14,1,20.96076040711764
蚬冈库,P1-1-01堆位,5,3,6,2025-06-27 02:01:14,1,17.76892248730005
蚬冈库,P1-1-01堆位,5,3,5,2025-06-27 02:01:14,1,16.30058805253177
蚬冈库,P1-1-01堆位,5,3,4,2025-06-27 02:01:14,1,16.781245091237935
蚬冈库,P1-1-01堆位,5,3,3,2025-06-27 02:01:14,1,16.76536602978045
蚬冈库,P1-1-01堆位,5,3,2,2025-06-27 02:01:14,1,16.951656135526257
蚬冈库,P1-1-01堆位,5,3,1,2025-06-27 02:01:14,1,17.044905940229352
蚬冈库,P1-1-01堆位,5,2,6,2025-06-27 02:01:14,1,17.28673001560617
