granary_id,heap_id,grid_x,grid_y,grid_z,detection_time,forecast_day,predicted_temp
蚬冈库,P2-1-01堆位,3,2,6,2025-06-27 02:01:14,1,25.525456003514364
蚬冈库,P2-1-01堆位,5,4,4,2025-06-27 02:01:14,1,19.545263920364036
蚬冈库,P2-1-01堆位,2,2,1,2025-06-27 02:01:14,1,24.042686423837875
蚬冈库,P2-1-01堆位,2,2,2,2025-06-27 02:01:14,1,27.713352018588257
蚬冈库,P2-1-01堆位,2,2,3,2025-06-27 02:01:14,1,26.277712650678243
蚬冈库,P2-1-01堆位,2,2,4,2025-06-27 02:01:14,1,26.3473508602696
蚬冈库,P2-1-01堆位,2,2,5,2025-06-27 02:01:14,1,25.26120744766071
蚬冈库,P2-1-01堆位,2,2,6,2025-06-27 02:01:14,1,25.059638899718063
蚬冈库,P2-1-01堆位,2,3,1,2025-06-27 02:01:14,1,18.481207967279126
蚬冈库,P2-1-01堆位,2,3,2,2025-06-27 02:01:14,1,24.017788824368278
蚬冈库,P2-1-01堆位,2,3,3,2025-06-27 02:01:14,1,17.010930873387718
蚬冈库,P2-1-01堆位,2,3,4,2025-06-27 02:01:14,1,16.996853298240485
蚬冈库,P2-1-01堆位,2,3,5,2025-06-27 02:01:14,1,16.996853298240485
蚬冈库,P2-1-01堆位,2,3,6,2025-06-27 02:01:14,1,18.050141108431244
蚬冈库,P2-1-01堆位,2,1,6,2025-06-27 02:01:14,1,27.968197175703004
蚬冈库,P2-1-01堆位,2,4,1,2025-06-27 02:01:14,1,20.35308774806542
蚬冈库,P2-1-01堆位,2,4,3,2025-06-27 02:01:14,1,17.745921822296836
蚬冈库,P2-1-01堆位,2,4,4,2025-06-27 02:01:14,1,18.000088436278116
蚬冈库,P2-1-01堆位,2,4,5,2025-06-27 02:01:14,1,18.509838707518117
蚬冈库,P2-1-01堆位,2,4,6,2025-06-27 02:01:14,1,19.978879353747605
蚬冈库,P2-1-01堆位,3,1,1,2025-06-27 02:01:14,1,27.6964118651684
蚬冈库,P2-1-01堆位,3,1,2,2025-06-27 02:01:14,1,27.966547845648105
蚬冈库,P2-1-01堆位,3,1,3,2025-06-27 02:01:14,1,27.95697535516667
蚬冈库,P2-1-01堆位,3,1,4,2025-06-27 02:01:14,1,27.69407094244559
蚬冈库,P2-1-01堆位,3,1,5,2025-06-27 02:01:14,1,27.704365934391795
蚬冈库,P2-1-01堆位,3,1,6,2025-06-27 02:01:14,1,28.45084149764698
蚬冈库,P2-1-01堆位,3,2,1,2025-06-27 02:01:14,1,22.686383393719968
蚬冈库,P2-1-01堆位,3,2,2,2025-06-27 02:01:14,1,25.02392892237478
蚬冈库,P2-1-01堆位,2,4,2,2025-06-27 02:01:14,1,16.727372480564107
蚬冈库,P2-1-01堆位,3,2,3,2025-06-27 02:01:14,1,25.269693704488127
蚬冈库,P2-1-01堆位,2,1,5,2025-06-27 02:01:14,1,27.704380665305465
蚬冈库,P2-1-01堆位,2,1,3,2025-06-27 02:01:14,1,28.429190232076543
蚬冈库,P2-1-01堆位,1,1,1,2025-06-27 02:01:14,1,29.440054713942846
蚬冈库,P2-1-01堆位,1,1,2,2025-06-27 02:01:14,1,28.141962137425356
蚬冈库,P2-1-01堆位,1,1,3,2025-06-27 02:01:14,1,28.429116040512955
蚬冈库,P2-1-01堆位,1,1,4,2025-06-27 02:01:14,1,27.724440575281132
蚬冈库,P2-1-01堆位,1,1,5,2025-06-27 02:01:14,1,27.218952166377633
蚬冈库,P2-1-01堆位,1,1,6,2025-06-27 02:01:14,1,27.806310734767145
蚬冈库,P2-1-01堆位,1,2,1,2025-06-27 02:01:14,1,23.308377341889322
蚬冈库,P2-1-01堆位,1,2,2,2025-06-27 02:01:14,1,25.060384100546234
蚬冈库,P2-1-01堆位,1,2,3,2025-06-27 02:01:14,1,24.679986834755976
蚬冈库,P2-1-01堆位,1,2,4,2025-06-27 02:01:14,1,25.269693704488127
蚬冈库,P2-1-01堆位,1,2,5,2025-06-27 02:01:14,1,24.275879216376797
蚬冈库,P2-1-01堆位,1,2,6,2025-06-27 02:01:14,1,24.78263015084932
蚬冈库,P2-1-01堆位,2,1,4,2025-06-27 02:01:14,1,27.965877976692063
蚬冈库,P2-1-01堆位,1,3,1,2025-06-27 02:01:14,1,19.980372496519646
蚬冈库,P2-1-01堆位,1,3,3,2025-06-27 02:01:14,1,19.113029150889297
蚬冈库,P2-1-01堆位,1,3,4,2025-06-27 02:01:14,1,20.4282965663219
蚬冈库,P2-1-01堆位,1,3,5,2025-06-27 02:01:14,1,18.76389850438602
蚬冈库,P2-1-01堆位,1,3,6,2025-06-27 02:01:14,1,19.769443581883603
蚬冈库,P2-1-01堆位,1,4,1,2025-06-27 02:01:14,1,21.203421454821886
蚬冈库,P2-1-01堆位,1,4,2,2025-06-27 02:01:14,1,19.98068972995409
蚬冈库,P2-1-01堆位,1,4,3,2025-06-27 02:01:14,1,20.305229514370424
蚬冈库,P2-1-01堆位,1,4,4,2025-06-27 02:01:14,1,18.752504608066882
蚬冈库,P2-1-01堆位,1,4,5,2025-06-27 02:01:14,1,21.000287696258486
蚬冈库,P2-1-01堆位,1,4,6,2025-06-27 02:01:14,1,21.023878940560284
蚬冈库,P2-1-01堆位,2,1,1,2025-06-27 02:01:14,1,27.26600528653482
蚬冈库,P2-1-01堆位,2,1,2,2025-06-27 02:01:14,1,27.693364134469032
蚬冈库,P2-1-01堆位,1,3,2,2025-06-27 02:01:14,1,18.306579897441544
蚬冈库,P2-1-01堆位,5,4,5,2025-06-27 02:01:14,1,19.98505096223874
蚬冈库,P2-1-01堆位,3,2,4,2025-06-27 02:01:14,1,25.490483813638498
蚬冈库,P2-1-01堆位,3,3,1,2025-06-27 02:01:14,1,17.768469245477085
蚬冈库,P2-1-01堆位,4,4,2,2025-06-27 02:01:14,1,18.748967912164403
蚬冈库,P2-1-01堆位,4,4,3,2025-06-27 02:01:14,1,19.287170242833223
蚬冈库,P2-1-01堆位,4,4,4,2025-06-27 02:01:14,1,18.992744750311576
蚬冈库,P2-1-01堆位,4,4,5,2025-06-27 02:01:14,1,19.10291823755771
蚬冈库,P2-1-01堆位,4,4,6,2025-06-27 02:01:14,1,19.746193024469235
蚬冈库,P2-1-01堆位,5,1,1,2025-06-27 02:01:14,1,28.75760039873048
蚬冈库,P2-1-01堆位,5,1,2,2025-06-27 02:01:14,1,27.690524127511058
蚬冈库,P2-1-01堆位,5,1,3,2025-06-27 02:01:14,1,29.44544411271174
蚬冈库,P2-1-01堆位,5,1,4,2025-06-27 02:01:14,1,27.699262245842196
