granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,21.5,1,1,1,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,20.0,1,1,2,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,21.75,1,1,3,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,21.75,1,1,4,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,21.5,1,1,5,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,21.75,1,1,6,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,19.75,1,2,1,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,16.5,1,2,2,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,17.0,1,2,3,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,19.0,1,2,4,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,18.75,1,2,5,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,17.75,1,2,6,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,18.5,1,3,1,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,15.75,1,3,2,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,16.25,1,3,3,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,17.25,1,3,4,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,17.75,1,3,5,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2025-06-09 02:00:50,17.75,1,3,6,18.66,23.0,15.0,19.44,42.5,26.9,96.1,平房仓
